raf,mek,plc,pip2,pip3,erk,akt,pka,pkc,p38,jnk
40.70 ,24.80 ,13.00 ,62.60 ,38.20 ,5.14 ,14.70 ,673.00 ,28.10 ,41.80 ,23.10 
45.70 ,15.70 ,13.20 ,21.30 ,7.50 ,23.90 ,49.10 ,1382.00 ,19.50 ,38.50 ,20.90 
43.70 ,29.20 ,14.50 ,17.60 ,13.10 ,8.58 ,12.50 ,621.00 ,34.00 ,67.90 ,28.10 
79.90 ,80.60 ,4.41 ,209.00 ,19.50 ,10.50 ,35.50 ,422.00 ,26.90 ,40.30 ,15.30 
56.70 ,17.30 ,21.70 ,18.10 ,12.70 ,9.22 ,22.90 ,552.00 ,38.50 ,59.90 ,17.90 
58.80 ,19.50 ,2.57 ,41.40 ,2.21 ,19.10 ,33.70 ,325.00 ,22.90 ,31.90 ,20.70 
53.80 ,12.70 ,10.90 ,12.40 ,30.80 ,20.20 ,37.90 ,403.00 ,22.50 ,38.50 ,20.90 
58.30 ,23.10 ,18.90 ,79.10 ,24.40 ,36.20 ,48.70 ,429.00 ,14.70 ,28.90 ,12.60 
160.00 ,28.10 ,7.10 ,115.00 ,16.10 ,4.96 ,12.40 ,1241.00 ,2.46 ,31.30 ,83.50 
45.30 ,9.39 ,12.20 ,53.80 ,27.60 ,4.29 ,27.60 ,599.00 ,38.20 ,80.60 ,139.00 
54.70 ,28.40 ,8.35 ,9.39 ,20.70 ,38.50 ,59.90 ,898.00 ,12.70 ,23.70 ,13.50 
85.10 ,26.90 ,25.30 ,47.80 ,22.90 ,13.60 ,14.20 ,396.00 ,4.74 ,8.98 ,43.30 
109.00 ,43.70 ,9.47 ,343.00 ,60.40 ,27.10 ,42.60 ,319.00 ,14.90 ,37.90 ,17.80 
25.70 ,15.30 ,1.00 ,120.00 ,23.70 ,2.69 ,18.90 ,10.20 ,4.96 ,40.30 ,221.00 
50.50 ,28.10 ,27.60 ,28.90 ,13.80 ,14.70 ,24.80 ,382.00 ,15.30 ,20.00 ,7.70 
69.20 ,17.80 ,17.80 ,62.10 ,23.10 ,2.71 ,13.30 ,562.00 ,4.45 ,20.00 ,105.00 
62.60 ,19.30 ,8.51 ,20.90 ,39.20 ,4.49 ,24.80 ,474.00 ,23.50 ,48.70 ,22.50 
67.90 ,43.70 ,11.40 ,19.30 ,15.80 ,17.80 ,38.50 ,1433.00 ,31.90 ,66.70 ,40.00 
75.00 ,57.80 ,4.91 ,15.40 ,24.60 ,21.90 ,36.20 ,233.00 ,21.30 ,46.10 ,17.00 
50.90 ,42.20 ,7.57 ,122.00 ,48.30 ,6.26 ,36.20 ,1027.00 ,12.50 ,32.80 ,108.00 
79.90 ,20.40 ,24.10 ,22.50 ,20.00 ,8.82 ,24.10 ,466.00 ,19.10 ,34.90 ,6.15 
62.60 ,21.70 ,21.90 ,22.10 ,3.82 ,39.20 ,75.70 ,1310.00 ,8.74 ,22.70 ,11.70 
50.90 ,25.30 ,6.38 ,76.40 ,17.20 ,9.06 ,15.40 ,673.00 ,4.66 ,26.90 ,173.00 
75.00 ,30.50 ,13.60 ,51.40 ,42.20 ,25.30 ,35.50 ,466.00 ,20.40 ,43.70 ,10.10 
59.40 ,25.30 ,11.70 ,20.70 ,27.90 ,3.62 ,12.40 ,29.70 ,17.20 ,32.50 ,10.50 
181.00 ,37.90 ,1.00 ,292.00 ,49.60 ,6.38 ,13.10 ,573.00 ,20.90 ,38.20 ,17.60 
69.80 ,33.10 ,12.70 ,67.30 ,1.91 ,4.07 ,27.10 ,973.00 ,85.80 ,121.00 ,32.50 
57.30 ,19.10 ,11.10 ,42.20 ,6.61 ,5.83 ,13.50 ,547.00 ,44.90 ,80.60 ,71.70 
82.80 ,30.50 ,13.90 ,18.60 ,6.92 ,23.50 ,37.50 ,418.00 ,6.55 ,16.70 ,95.60 
35.50 ,24.60 ,15.70 ,35.50 ,11.90 ,21.90 ,45.70 ,322.00 ,6.79 ,23.30 ,11.90 
80.60 ,27.90 ,17.90 ,42.60 ,17.30 ,2.84 ,20.70 ,188.00 ,20.70 ,33.10 ,17.50 
113.00 ,45.70 ,10.80 ,154.00 ,58.30 ,13.10 ,21.50 ,337.00 ,5.47 ,20.00 ,9.39 
8.90 ,10.10 ,10.30 ,89.00 ,29.40 ,181.00 ,355.00 ,1731.00 ,24.10 ,42.20 ,20.70 
35.20 ,14.10 ,7.10 ,20.20 ,32.20 ,12.90 ,22.50 ,583.00 ,37.50 ,47.40 ,9.47 
24.10 ,12.30 ,12.70 ,62.60 ,26.70 ,9.14 ,16.50 ,547.00 ,25.70 ,59.90 ,80.60 
164.00 ,33.10 ,5.78 ,28.60 ,13.70 ,16.30 ,24.10 ,319.00 ,22.50 ,35.50 ,12.40 
57.80 ,27.10 ,15.50 ,57.30 ,19.50 ,25.90 ,34.60 ,382.00 ,3.05 ,27.10 ,78.40 
90.60 ,27.40 ,40.00 ,97.30 ,71.00 ,10.90 ,18.90 ,429.00 ,4.45 ,42.90 ,80.60 
38.50 ,12.70 ,4.37 ,22.70 ,23.70 ,4.22 ,10.80 ,578.00 ,1.86 ,7.37 ,3.43 
51.40 ,36.80 ,12.70 ,40.30 ,21.70 ,12.70 ,25.90 ,667.00 ,2.50 ,14.90 ,64.90 
26.90 ,15.10 ,18.60 ,20.50 ,8.43 ,20.40 ,38.50 ,437.00 ,11.70 ,24.40 ,15.40 
56.20 ,21.10 ,12.70 ,21.10 ,57.80 ,14.10 ,19.80 ,474.00 ,25.90 ,39.60 ,75.70 
70.40 ,35.50 ,18.40 ,45.70 ,47.80 ,18.80 ,31.60 ,418.00 ,10.00 ,22.30 ,6.67 
58.80 ,35.20 ,12.20 ,16.50 ,24.10 ,18.40 ,33.70 ,362.00 ,16.30 ,19.80 ,10.40 
69.20 ,35.50 ,17.30 ,50.00 ,19.80 ,8.51 ,18.60 ,151.00 ,12.00 ,31.10 ,27.60 
69.80 ,47.00 ,25.50 ,276.00 ,77.00 ,32.80 ,51.40 ,799.00 ,19.60 ,47.80 ,16.40 
105.00 ,59.90 ,20.00 ,19.60 ,15.10 ,6.85 ,23.10 ,1065.00 ,1.67 ,48.30 ,4.66 
62.10 ,51.90 ,13.60 ,30.20 ,10.60 ,14.30 ,37.90 ,692.00 ,6.49 ,25.00 ,91.40 
75.00 ,33.40 ,1.00 ,31.60 ,1.00 ,19.80 ,27.60 ,505.00 ,18.60 ,31.10 ,7.64 
20.40 ,15.10 ,7.99 ,101.00 ,35.90 ,9.14 ,22.90 ,400.00 ,11.70 ,22.70 ,6.85 
47.80 ,19.60 ,17.50 ,33.10 ,82.00 ,17.90 ,35.20 ,956.00 ,22.50 ,43.30 ,20.00 
59.90 ,53.30 ,11.80 ,77.70 ,12.90 ,11.10 ,37.90 ,1407.00 ,18.80 ,29.40 ,16.80 
46.60 ,27.10 ,12.40 ,109.00 ,21.90 ,21.50 ,38.20 ,207.00 ,11.00 ,31.30 ,12.00 
51.90 ,21.30 ,49.10 ,58.80 ,10.80 ,58.80 ,200.00 ,3051.00 ,15.30 ,39.20 ,15.70 
31.90 ,23.90 ,15.10 ,12.70 ,4.61 ,6.73 ,15.00 ,562.00 ,1.00 ,68.50 ,8.20 
93.90 ,27.40 ,67.30 ,138.00 ,30.80 ,28.10 ,46.10 ,906.00 ,2.69 ,6.98 ,71.00 
64.90 ,23.30 ,15.30 ,12.60 ,9.06 ,19.60 ,35.20 ,806.00 ,2.37 ,20.00 ,7.91 
153.00 ,123.00 ,12.00 ,34.60 ,63.80 ,8.58 ,26.20 ,470.00 ,1.00 ,12.00 ,9.91 
16.70 ,12.40 ,7.04 ,235.00 ,34.90 ,44.90 ,64.90 ,1843.00 ,23.50 ,36.20 ,30.50 
71.70 ,25.50 ,13.10 ,12.00 ,43.30 ,12.20 ,31.30 ,655.00 ,7.70 ,16.40 ,49.10 
35.50 ,23.70 ,2.89 ,4.26 ,12.90 ,13.00 ,22.70 ,470.00 ,7.77 ,33.40 ,16.30 
83.50 ,61.50 ,13.00 ,34.60 ,12.30 ,3.46 ,19.50 ,239.00 ,2.53 ,2.69 ,6.10 
31.90 ,8.82 ,12.90 ,154.00 ,56.70 ,16.80 ,16.00 ,433.00 ,9.56 ,48.70 ,54.20 
29.40 ,20.20 ,7.70 ,125.00 ,27.40 ,89.00 ,150.00 ,799.00 ,2.71 ,15.40 ,49.10 
302.00 ,325.00 ,17.60 ,25.70 ,10.70 ,29.20 ,38.20 ,313.00 ,10.80 ,36.50 ,17.20 
40.30 ,16.50 ,11.50 ,505.00 ,67.30 ,19.30 ,29.70 ,483.00 ,2.92 ,15.30 ,89.00 
29.20 ,15.40 ,9.73 ,23.10 ,71.00 ,6.38 ,47.00 ,557.00 ,20.00 ,24.60 ,7.70 
46.10 ,25.70 ,12.70 ,24.40 ,37.20 ,16.80 ,35.90 ,375.00 ,5.47 ,39.20 ,95.60 
52.30 ,21.50 ,27.10 ,155.00 ,67.90 ,7.23 ,23.90 ,820.00 ,3.59 ,25.00 ,93.10 
48.70 ,36.50 ,18.60 ,10.60 ,13.90 ,6.10 ,25.90 ,1009.00 ,10.20 ,22.70 ,15.30 
85.80 ,82.00 ,120.00 ,325.00 ,79.10 ,6.61 ,10.90 ,723.00 ,12.10 ,21.90 ,5.42 
75.70 ,25.90 ,21.50 ,64.40 ,45.30 ,8.28 ,28.40 ,583.00 ,15.70 ,36.80 ,13.70 
58.30 ,21.90 ,14.90 ,18.40 ,30.20 ,5.47 ,17.20 ,982.00 ,16.30 ,21.50 ,15.50 
58.80 ,34.90 ,13.30 ,82.80 ,38.20 ,22.50 ,27.90 ,379.00 ,6.55 ,18.40 ,48.70 
112.00 ,27.60 ,28.40 ,67.90 ,30.50 ,10.80 ,16.70 ,403.00 ,17.80 ,29.70 ,7.77 
66.70 ,29.20 ,2.39 ,10.90 ,32.20 ,22.90 ,32.20 ,379.00 ,14.30 ,30.80 ,17.60 
39.60 ,23.90 ,6.61 ,137.00 ,20.40 ,22.70 ,38.20 ,313.00 ,16.10 ,20.00 ,10.50 
36.50 ,15.50 ,2.55 ,8.35 ,40.00 ,15.80 ,34.60 ,281.00 ,21.30 ,28.60 ,13.90 
38.20 ,25.70 ,32.20 ,59.40 ,138.00 ,24.10 ,36.50 ,331.00 ,38.50 ,67.90 ,16.30 
41.80 ,21.30 ,9.39 ,7.91 ,32.50 ,13.30 ,61.00 ,858.00 ,2.81 ,17.30 ,64.40 
62.10 ,18.10 ,24.80 ,113.00 ,25.50 ,17.00 ,34.60 ,604.00 ,4.26 ,13.50 ,72.30 
167.00 ,79.10 ,9.65 ,111.00 ,20.20 ,28.40 ,89.00 ,1472.00 ,20.40 ,29.20 ,12.90 
55.70 ,28.60 ,25.90 ,51.90 ,64.90 ,7.50 ,17.60 ,271.00 ,2.21 ,4.45 ,9.73 
84.30 ,71.70 ,12.90 ,93.10 ,36.50 ,8.90 ,17.80 ,906.00 ,9.06 ,25.00 ,42.20 
60.40 ,25.30 ,19.10 ,27.40 ,44.50 ,44.50 ,64.90 ,1197.00 ,20.90 ,49.60 ,17.50 
57.30 ,21.90 ,38.20 ,38.50 ,81.30 ,5.83 ,12.90 ,274.00 ,16.00 ,21.50 ,14.90 
76.40 ,32.80 ,30.00 ,60.40 ,49.60 ,5.47 ,14.30 ,87.40 ,11.10 ,27.40 ,7.43 
96.50 ,119.00 ,15.50 ,71.00 ,13.90 ,19.50 ,32.20 ,500.00 ,50.90 ,75.00 ,26.90 
38.50 ,17.80 ,32.20 ,115.00 ,61.00 ,10.60 ,21.30 ,965.00 ,5.00 ,20.40 ,34.90 
66.10 ,46.60 ,7.70 ,19.60 ,75.70 ,15.70 ,17.80 ,519.00 ,12.00 ,13.80 ,14.90 
112.00 ,79.10 ,7.37 ,15.00 ,35.90 ,10.60 ,32.20 ,382.00 ,14.90 ,31.10 ,12.00 
47.00 ,22.30 ,12.20 ,73.00 ,24.10 ,3.49 ,11.40 ,340.00 ,5.62 ,13.90 ,93.90 
87.40 ,54.70 ,19.60 ,8.58 ,24.80 ,15.80 ,33.10 ,757.00 ,24.60 ,40.70 ,25.00 
57.80 ,19.10 ,22.90 ,19.10 ,11.30 ,18.80 ,57.30 ,743.00 ,8.66 ,8.35 ,24.40 
92.20 ,31.10 ,18.90 ,22.30 ,34.30 ,13.60 ,29.40 ,385.00 ,7.23 ,17.60 ,7.99 
93.10 ,28.90 ,9.56 ,11.40 ,23.10 ,20.40 ,24.80 ,319.00 ,4.14 ,20.20 ,122.00 
107.00 ,36.80 ,16.00 ,38.90 ,29.20 ,18.80 ,28.10 ,276.00 ,1.83 ,25.50 ,97.30 
80.60 ,56.70 ,16.10 ,27.60 ,4.03 ,5.28 ,5.88 ,491.00 ,3.52 ,5.57 ,24.40 
44.90 ,25.30 ,1.00 ,158.00 ,12.30 ,14.20 ,26.20 ,514.00 ,6.55 ,16.10 ,33.70 
27.40 ,18.80 ,9.65 ,13.20 ,9.73 ,18.60 ,54.70 ,286.00 ,1.88 ,19.80 ,88.20 
31.60 ,25.70 ,24.60 ,35.20 ,25.70 ,14.10 ,25.70 ,284.00 ,20.40 ,28.40 ,48.30 
52.30 ,33.40 ,8.13 ,25.50 ,5.73 ,30.50 ,42.90 ,305.00 ,34.90 ,68.50 ,20.40 
71.70 ,27.40 ,8.82 ,18.30 ,23.10 ,14.10 ,27.40 ,649.00 ,3.82 ,20.20 ,53.80 
44.50 ,26.90 ,15.50 ,87.40 ,12.50 ,4.53 ,16.00 ,379.00 ,3.68 ,32.50 ,77.00 
74.30 ,27.40 ,16.40 ,22.70 ,2.00 ,6.26 ,15.10 ,457.00 ,13.60 ,24.60 ,6.55 
44.10 ,20.20 ,13.90 ,17.80 ,39.20 ,22.30 ,30.20 ,487.00 ,30.50 ,40.00 ,23.70 
42.90 ,22.90 ,17.30 ,17.80 ,21.90 ,13.10 ,36.80 ,710.00 ,12.60 ,24.40 ,65.50 
79.10 ,26.40 ,1.19 ,3.96 ,41.40 ,8.06 ,20.40 ,509.00 ,3.68 ,16.00 ,63.20 
89.00 ,30.00 ,44.90 ,47.00 ,7.37 ,52.80 ,97.30 ,2288.00 ,69.80 ,94.70 ,8.28 
63.20 ,27.40 ,14.50 ,80.60 ,41.00 ,15.10 ,38.20 ,453.00 ,13.60 ,32.80 ,13.10 
27.90 ,20.70 ,25.30 ,70.40 ,42.20 ,6.98 ,21.30 ,313.00 ,24.80 ,44.50 ,23.10 
69.80 ,22.90 ,19.30 ,17.50 ,9.73 ,20.70 ,28.10 ,255.00 ,13.00 ,25.30 ,9.73 
28.90 ,15.70 ,22.70 ,37.90 ,49.10 ,13.00 ,23.50 ,509.00 ,22.10 ,53.80 ,35.90 
102.00 ,30.80 ,7.17 ,82.00 ,49.10 ,20.20 ,25.00 ,343.00 ,3.96 ,26.90 ,87.40 
59.40 ,25.30 ,14.90 ,61.50 ,26.20 ,22.50 ,36.50 ,239.00 ,2.74 ,14.50 ,77.70 
89.80 ,31.30 ,18.80 ,22.50 ,8.74 ,25.00 ,37.50 ,426.00 ,29.70 ,60.40 ,24.10 
200.00 ,33.10 ,19.50 ,56.20 ,16.10 ,21.70 ,35.50 ,305.00 ,4.26 ,14.20 ,95.60 
62.10 ,18.10 ,14.90 ,149.00 ,62.10 ,4.49 ,20.70 ,698.00 ,44.10 ,125.00 ,57.30 
46.10 ,23.70 ,17.90 ,276.00 ,41.40 ,15.00 ,19.50 ,334.00 ,16.70 ,31.60 ,11.80 
149.00 ,85.10 ,8.43 ,7.99 ,17.80 ,29.20 ,69.20 ,1208.00 ,26.40 ,46.60 ,30.00 
8.90 ,15.50 ,7.91 ,153.00 ,16.00 ,40.30 ,61.50 ,1582.00 ,12.20 ,25.70 ,12.00 
109.00 ,40.00 ,9.82 ,24.40 ,73.00 ,12.30 ,23.10 ,487.00 ,17.90 ,30.80 ,15.10 
71.70 ,42.90 ,31.10 ,23.90 ,10.50 ,8.13 ,34.90 ,2571.00 ,1.00 ,33.40 ,1.01 
68.50 ,24.40 ,16.30 ,47.80 ,13.90 ,5.94 ,17.20 ,649.00 ,18.60 ,38.50 ,17.80 
79.90 ,44.10 ,4.45 ,89.80 ,28.10 ,39.20 ,82.80 ,632.00 ,20.40 ,51.40 ,35.90 
85.10 ,34.90 ,1.00 ,325.00 ,23.50 ,44.10 ,86.60 ,799.00 ,23.90 ,41.80 ,16.70 
196.00 ,163.00 ,3.85 ,311.00 ,59.90 ,22.90 ,25.30 ,470.00 ,2.15 ,6.61 ,2.81 
38.50 ,17.30 ,25.70 ,26.40 ,10.90 ,29.40 ,42.60 ,322.00 ,23.30 ,37.50 ,19.30 
64.40 ,50.90 ,12.70 ,12.40 ,3.11 ,22.50 ,30.00 ,573.00 ,25.00 ,54.70 ,20.90 
97.30 ,22.70 ,17.50 ,101.00 ,31.30 ,19.60 ,25.30 ,352.00 ,13.90 ,36.20 ,9.82 
79.10 ,28.40 ,7.30 ,6.73 ,66.70 ,27.40 ,53.30 ,1655.00 ,40.00 ,66.10 ,20.40 
106.00 ,24.80 ,1.35 ,61.00 ,16.10 ,70.40 ,108.00 ,1018.00 ,15.40 ,31.90 ,14.20 
76.40 ,30.80 ,8.51 ,141.00 ,12.10 ,19.30 ,34.00 ,297.00 ,6.15 ,29.40 ,118.00 
108.00 ,30.80 ,21.50 ,41.00 ,30.80 ,6.61 ,27.40 ,1094.00 ,11.50 ,30.20 ,67.30 
53.30 ,34.60 ,18.30 ,41.00 ,56.20 ,3.79 ,30.80 ,965.00 ,3.43 ,16.40 ,70.40 
27.90 ,19.30 ,24.40 ,106.00 ,23.70 ,14.70 ,21.30 ,519.00 ,14.90 ,36.20 ,16.50 
69.80 ,26.20 ,21.90 ,20.40 ,17.00 ,18.90 ,45.30 ,533.00 ,2.41 ,9.47 ,74.30 
7.23 ,5.88 ,17.80 ,119.00 ,14.10 ,8.82 ,23.70 ,445.00 ,3.00 ,18.10 ,66.70 
49.10 ,18.80 ,14.90 ,29.40 ,15.00 ,17.60 ,28.10 ,470.00 ,1.88 ,21.90 ,59.40 
42.60 ,15.70 ,53.30 ,62.60 ,16.50 ,3.79 ,10.30 ,552.00 ,6.98 ,44.90 ,271.00 
16.50 ,22.90 ,9.22 ,10.90 ,46.10 ,3.59 ,13.60 ,874.00 ,12.50 ,28.10 ,2.89 
101.00 ,61.00 ,17.90 ,13.00 ,27.90 ,7.99 ,11.10 ,215.00 ,5.14 ,11.40 ,58.80 
59.90 ,21.90 ,11.50 ,17.20 ,13.30 ,8.82 ,24.80 ,965.00 ,9.22 ,44.90 ,3.85 
102.00 ,46.10 ,11.30 ,104.00 ,13.30 ,36.80 ,65.50 ,914.00 ,13.70 ,33.40 ,11.00 
142.00 ,101.00 ,26.90 ,422.00 ,101.00 ,11.30 ,19.50 ,649.00 ,8.43 ,29.20 ,138.00 
61.50 ,17.20 ,17.80 ,10.10 ,16.70 ,14.90 ,33.10 ,542.00 ,11.10 ,20.90 ,154.00 
54.70 ,20.40 ,15.50 ,35.20 ,32.50 ,11.70 ,18.10 ,599.00 ,1.63 ,17.50 ,67.90 
50.50 ,19.50 ,4.78 ,13.60 ,24.80 ,11.70 ,28.90 ,509.00 ,18.30 ,39.60 ,23.30 
34.00 ,13.30 ,26.70 ,38.20 ,98.20 ,34.00 ,59.40 ,704.00 ,32.80 ,63.20 ,50.90 
48.70 ,19.50 ,32.80 ,43.70 ,44.90 ,8.58 ,24.40 ,466.00 ,1.60 ,20.40 ,64.90 
70.40 ,25.30 ,12.30 ,145.00 ,21.10 ,4.53 ,24.60 ,255.00 ,4.83 ,18.80 ,51.90 
45.70 ,19.10 ,6.32 ,94.70 ,17.20 ,8.43 ,16.00 ,244.00 ,3.08 ,23.50 ,93.90 
78.40 ,33.10 ,25.30 ,27.40 ,46.60 ,66.70 ,164.00 ,3220.00 ,17.80 ,29.70 ,18.30 
17.60 ,11.40 ,32.50 ,94.70 ,117.00 ,23.70 ,36.50 ,355.00 ,9.82 ,23.10 ,18.90 
29.40 ,26.40 ,15.10 ,21.50 ,8.13 ,15.40 ,71.70 ,610.00 ,2.07 ,22.10 ,57.30 
63.80 ,21.10 ,7.64 ,38.20 ,50.00 ,4.41 ,13.90 ,461.00 ,20.50 ,31.30 ,13.20 
227.00 ,155.00 ,28.60 ,32.80 ,22.30 ,10.80 ,10.10 ,362.00 ,19.60 ,39.20 ,12.10 
64.40 ,29.70 ,13.70 ,33.40 ,8.58 ,7.70 ,23.10 ,1252.00 ,12.60 ,25.30 ,1.11 
57.80 ,15.30 ,19.50 ,71.00 ,31.60 ,14.30 ,17.90 ,505.00 ,18.90 ,38.90 ,33.10 
75.00 ,23.70 ,13.50 ,178.00 ,31.60 ,21.50 ,33.10 ,255.00 ,28.10 ,43.70 ,12.50 
48.70 ,25.00 ,52.30 ,109.00 ,16.30 ,6.85 ,17.80 ,445.00 ,3.85 ,16.00 ,63.80 
61.00 ,53.30 ,27.40 ,32.50 ,3.72 ,9.56 ,25.70 ,1346.00 ,1.42 ,19.60 ,79.90 
96.50 ,46.10 ,16.10 ,15.50 ,31.60 ,3.85 ,22.30 ,5.57 ,6.15 ,32.50 ,73.00 
54.70 ,26.20 ,12.50 ,93.90 ,14.90 ,11.50 ,18.60 ,474.00 ,16.40 ,24.10 ,7.30 
118.00 ,39.20 ,66.10 ,75.00 ,14.10 ,4.33 ,11.10 ,562.00 ,18.30 ,36.50 ,13.30 
96.50 ,56.20 ,29.70 ,39.20 ,16.10 ,12.20 ,37.90 ,1000.00 ,17.30 ,47.00 ,23.10 
89.00 ,52.80 ,24.40 ,18.90 ,3.85 ,23.10 ,42.90 ,710.00 ,21.10 ,37.90 ,18.60 
25.30 ,38.50 ,21.50 ,48.30 ,75.00 ,19.10 ,33.70 ,308.00 ,89.00 ,138.00 ,46.60 
96.50 ,46.10 ,20.90 ,51.40 ,14.50 ,53.30 ,118.00 ,882.00 ,3.34 ,12.90 ,30.50 
62.60 ,34.90 ,18.10 ,133.00 ,30.00 ,21.50 ,24.10 ,403.00 ,9.56 ,21.30 ,13.60 
18.30 ,20.00 ,47.40 ,75.70 ,63.20 ,13.30 ,19.30 ,400.00 ,19.30 ,31.90 ,29.40 
65.50 ,32.50 ,12.90 ,17.00 ,12.70 ,18.80 ,31.10 ,334.00 ,5.88 ,33.10 ,138.00 
85.10 ,41.00 ,14.90 ,32.20 ,27.40 ,38.50 ,47.00 ,777.00 ,6.38 ,23.10 ,56.20 
79.90 ,25.00 ,36.50 ,26.20 ,42.60 ,4.91 ,9.91 ,385.00 ,5.42 ,25.90 ,98.20 
42.20 ,20.20 ,8.20 ,26.90 ,23.90 ,19.10 ,40.30 ,422.00 ,22.90 ,32.50 ,24.40 
61.00 ,19.10 ,10.20 ,68.50 ,28.60 ,10.90 ,6.55 ,267.00 ,20.50 ,43.70 ,21.90 
17.50 ,10.90 ,6.10 ,155.00 ,21.30 ,17.20 ,26.40 ,389.00 ,17.30 ,47.00 ,23.70 
36.50 ,22.30 ,33.40 ,63.80 ,126.00 ,9.73 ,19.80 ,552.00 ,20.90 ,34.60 ,15.40 
14.60 ,14.90 ,21.70 ,167.00 ,31.30 ,19.10 ,32.80 ,286.00 ,5.19 ,15.50 ,108.00 
17.30 ,24.40 ,25.70 ,26.90 ,8.58 ,21.50 ,36.20 ,284.00 ,17.00 ,35.20 ,14.90 
63.20 ,10.90 ,65.50 ,127.00 ,29.70 ,26.90 ,53.80 ,337.00 ,25.90 ,38.90 ,20.50 
35.20 ,16.00 ,12.50 ,157.00 ,48.30 ,15.50 ,117.00 ,1499.00 ,28.90 ,46.10 ,10.70 
57.30 ,27.60 ,14.50 ,173.00 ,37.20 ,5.57 ,12.40 ,604.00 ,15.80 ,37.20 ,18.80 
24.40 ,15.50 ,15.00 ,114.00 ,15.80 ,16.70 ,30.00 ,1000.00 ,13.60 ,20.50 ,17.30 
