raf,mek,plc,pip2,erk,akt,pka,pkc,p38,jnk,Class
29.2,15.4,9.73,23.1,6.38,47,557,20,24.6,7.7,1
46.1,25.7,12.7,24.4,16.8,35.9,375,5.47,39.2,95.6,1
52.3,21.5,27.1,155,7.23,23.9,820,3.59,25,93.1,1
48.7,36.5,18.6,10.6,6.1,25.9,1009,10.2,22.7,15.3,0
85.8,82,120,325,6.61,10.9,723,12.1,21.9,5.42,1
75.7,25.9,21.5,64.4,8.28,28.4,583,15.7,36.8,13.7,1
58.3,21.9,14.9,18.4,5.47,17.2,982,16.3,21.5,15.5,1
58.8,34.9,13.3,82.8,22.5,27.9,379,6.55,18.4,48.7,1
112,27.6,28.4,67.9,10.8,16.7,403,17.8,29.7,7.77,1
66.7,29.2,2.39,10.9,22.9,32.2,379,14.3,30.8,17.6,1
39.6,23.9,6.61,137,22.7,38.2,313,16.1,20,10.5,1
36.5,15.5,2.55,8.35,15.8,34.6,281,21.3,28.6,13.9,1
38.2,25.7,32.2,59.4,24.1,36.5,331,38.5,67.9,16.3,1
41.8,21.3,9.39,7.91,13.3,61,858,2.81,17.3,64.4,1
62.1,18.1,24.8,113,17,34.6,604,4.26,13.5,72.3,1
167,79.1,9.65,111,28.4,89,1472,20.4,29.2,12.9,1
55.7,28.6,25.9,51.9,7.5,17.6,271,2.21,4.45,9.73,1
84.3,71.7,12.9,93.1,8.9,17.8,906,9.06,25,42.2,1
60.4,25.3,19.1,27.4,44.5,64.9,1197,20.9,49.6,17.5,1
57.3,21.9,38.2,38.5,5.83,12.9,274,16,21.5,14.9,1
76.4,32.8,30,60.4,5.47,14.3,87.4,11.1,27.4,7.43,1
96.5,119,15.5,71,19.5,32.2,500,50.9,75,26.9,0
38.5,17.8,32.2,115,10.6,21.3,965,5,20.4,34.9,1
66.1,46.6,7.7,19.6,15.7,17.8,519,12,13.8,14.9,1
112,79.1,7.37,15,10.6,32.2,382,14.9,31.1,12,1
47,22.3,12.2,73,3.49,11.4,340,5.62,13.9,93.9,1
87.4,54.7,19.6,8.58,15.8,33.1,757,24.6,40.7,25,1
57.8,19.1,22.9,19.1,18.8,57.3,743,8.66,8.35,24.4,0
92.2,31.1,18.9,22.3,13.6,29.4,385,7.23,17.6,7.99,1
93.1,28.9,9.56,11.4,20.4,24.8,319,4.14,20.2,122,1
107,36.8,16,38.9,18.8,28.1,276,1.83,25.5,97.3,1
80.6,56.7,16.1,27.6,5.28,5.88,491,3.52,5.57,24.4,0
44.9,25.3,1,158,14.2,26.2,514,6.55,16.1,33.7,0
27.4,18.8,9.65,13.2,18.6,54.7,286,1.88,19.8,88.2,0
31.6,25.7,24.6,35.2,14.1,25.7,284,20.4,28.4,48.3,1
52.3,33.4,8.13,25.5,30.5,42.9,305,34.9,68.5,20.4,0
71.7,27.4,8.82,18.3,14.1,27.4,649,3.82,20.2,53.8,1
44.5,26.9,15.5,87.4,4.53,16,379,3.68,32.5,77,0
74.3,27.4,16.4,22.7,6.26,15.1,457,13.6,24.6,6.55,0
44.1,20.2,13.9,17.8,22.3,30.2,487,30.5,40,23.7,1
42.9,22.9,17.3,17.8,13.1,36.8,710,12.6,24.4,65.5,1
79.1,26.4,1.19,3.96,8.06,20.4,509,3.68,16,63.2,1
89,30,44.9,47,52.8,97.3,2288,69.8,94.7,8.28,0
63.2,27.4,14.5,80.6,15.1,38.2,453,13.6,32.8,13.1,1
27.9,20.7,25.3,70.4,6.98,21.3,313,24.8,44.5,23.1,1
69.8,22.9,19.3,17.5,20.7,28.1,255,13,25.3,9.73,0
28.9,15.7,22.7,37.9,13,23.5,509,22.1,53.8,35.9,1
102,30.8,7.17,82,20.2,25,343,3.96,26.9,87.4,1
59.4,25.3,14.9,61.5,22.5,36.5,239,2.74,14.5,77.7,1
89.8,31.3,18.8,22.5,25,37.5,426,29.7,60.4,24.1,0
200,33.1,19.5,56.2,21.7,35.5,305,4.26,14.2,95.6,0
62.1,18.1,14.9,149,4.49,20.7,698,44.1,125,57.3,1
46.1,23.7,17.9,276,15,19.5,334,16.7,31.6,11.8,1
149,85.1,8.43,7.99,29.2,69.2,1208,26.4,46.6,30,0
8.9,15.5,7.91,153,40.3,61.5,1582,12.2,25.7,12,0
109,40,9.82,24.4,12.3,23.1,487,17.9,30.8,15.1,1
71.7,42.9,31.1,23.9,8.13,34.9,2571,1,33.4,1.01,0
68.5,24.4,16.3,47.8,5.94,17.2,649,18.6,38.5,17.8,0
79.9,44.1,4.45,89.8,39.2,82.8,632,20.4,51.4,35.9,1
85.1,34.9,1,325,44.1,86.6,799,23.9,41.8,16.7,1
196,163,3.85,311,22.9,25.3,470,2.15,6.61,2.81,1
38.5,17.3,25.7,26.4,29.4,42.6,322,23.3,37.5,19.3,0
64.4,50.9,12.7,12.4,22.5,30,573,25,54.7,20.9,0
97.3,22.7,17.5,101,19.6,25.3,352,13.9,36.2,9.82,1
79.1,28.4,7.3,6.73,27.4,53.3,1655,40,66.1,20.4,1
106,24.8,1.35,61,70.4,108,1018,15.4,31.9,14.2,0
76.4,30.8,8.51,141,19.3,34,297,6.15,29.4,118,0
108,30.8,21.5,41,6.61,27.4,1094,11.5,30.2,67.3,1
53.3,34.6,18.3,41,3.79,30.8,965,3.43,16.4,70.4,1
27.9,19.3,24.4,106,14.7,21.3,519,14.9,36.2,16.5,1
69.8,26.2,21.9,20.4,18.9,45.3,533,2.41,9.47,74.3,0
7.23,5.88,17.8,119,8.82,23.7,445,3,18.1,66.7,0
49.1,18.8,14.9,29.4,17.6,28.1,470,1.88,21.9,59.4,0
42.6,15.7,53.3,62.6,3.79,10.3,552,6.98,44.9,271,0
16.5,22.9,9.22,10.9,3.59,13.6,874,12.5,28.1,2.89,1
101,61,17.9,13,7.99,11.1,215,5.14,11.4,58.8,1
59.9,21.9,11.5,17.2,8.82,24.8,965,9.22,44.9,3.85,0
102,46.1,11.3,104,36.8,65.5,914,13.7,33.4,11,0
142,101,26.9,422,11.3,19.5,649,8.43,29.2,138,1
61.5,17.2,17.8,10.1,14.9,33.1,542,11.1,20.9,154,0
54.7,20.4,15.5,35.2,11.7,18.1,599,1.63,17.5,67.9,1
50.5,19.5,4.78,13.6,11.7,28.9,509,18.3,39.6,23.3,1
34,13.3,26.7,38.2,34,59.4,704,32.8,63.2,50.9,1
48.7,19.5,32.8,43.7,8.58,24.4,466,1.6,20.4,64.9,1
70.4,25.3,12.3,145,4.53,24.6,255,4.83,18.8,51.9,1
45.7,19.1,6.32,94.7,8.43,16,244,3.08,23.5,93.9,0
78.4,33.1,25.3,27.4,66.7,164,3220,17.8,29.7,18.3,1
17.6,11.4,32.5,94.7,23.7,36.5,355,9.82,23.1,18.9,1
29.4,26.4,15.1,21.5,15.4,71.7,610,2.07,22.1,57.3,0
63.8,21.1,7.64,38.2,4.41,13.9,461,20.5,31.3,13.2,1
227,155,28.6,32.8,10.8,10.1,362,19.6,39.2,12.1,1
64.4,29.7,13.7,33.4,7.7,23.1,1252,12.6,25.3,1.11,0
57.8,15.3,19.5,71,14.3,17.9,505,18.9,38.9,33.1,1
75,23.7,13.5,178,21.5,33.1,255,28.1,43.7,12.5,1
48.7,25,52.3,109,6.85,17.8,445,3.85,16,63.8,0
61,53.3,27.4,32.5,9.56,25.7,1346,1.42,19.6,79.9,0
96.5,46.1,16.1,15.5,3.85,22.3,5.57,6.15,32.5,73,1
54.7,26.2,12.5,93.9,11.5,18.6,474,16.4,24.1,7.3,0
118,39.2,66.1,75,4.33,11.1,562,18.3,36.5,13.3,0
96.5,56.2,29.7,39.2,12.2,37.9,1000,17.3,47,23.1,0
89,52.8,24.4,18.9,23.1,42.9,710,21.1,37.9,18.6,0
25.3,38.5,21.5,48.3,19.1,33.7,308,89,138,46.6,1
96.5,46.1,20.9,51.4,53.3,118,882,3.34,12.9,30.5,0
62.6,34.9,18.1,133,21.5,24.1,403,9.56,21.3,13.6,1
18.3,20,47.4,75.7,13.3,19.3,400,19.3,31.9,29.4,1
65.5,32.5,12.9,17,18.8,31.1,334,5.88,33.1,138,0
85.1,41,14.9,32.2,38.5,47,777,6.38,23.1,56.2,1
79.9,25,36.5,26.2,4.91,9.91,385,5.42,25.9,98.2,1
42.2,20.2,8.2,26.9,19.1,40.3,422,22.9,32.5,24.4,1
61,19.1,10.2,68.5,10.9,6.55,267,20.5,43.7,21.9,1
17.5,10.9,6.1,155,17.2,26.4,389,17.3,47,23.7,1
36.5,22.3,33.4,63.8,9.73,19.8,552,20.9,34.6,15.4,1
14.6,14.9,21.7,167,19.1,32.8,286,5.19,15.5,108,1
17.3,24.4,25.7,26.9,21.5,36.2,284,17,35.2,14.9,0
63.2,10.9,65.5,127,26.9,53.8,337,25.9,38.9,20.5,1
35.2,16,12.5,157,15.5,117,1499,28.9,46.1,10.7,1
57.3,27.6,14.5,173,5.57,12.4,604,15.8,37.2,18.8,1
24.4,15.5,15,114,16.7,30,1000,13.6,20.5,17.3,0
69.8,40.7,14.6,135,29.2,42.9,385,14.3,24.1,9.06,1
74.3,35.9,44.9,53.8,10.6,33.1,1382,10.6,28.9,4.26,1
101,35.5,16.5,88.2,49.6,72.3,730,17.2,32.5,17.9,0
41.4,17.2,22.1,21.1,23.9,34.3,379,1,13.2,8.66,0
82,66.1,11.4,17.2,5.28,12.3,158,25.7,63.2,31.9,1
86.6,38.2,18.8,10.3,19.5,31.3,382,18.8,30.5,3.49,0
14.1,7.23,20.7,155,17.3,86.6,195,20.5,38.2,15.8,0
89.8,52.3,2.81,14.5,38.2,83.5,750,25.5,41,15,1
97.3,41.4,27.6,178,11.3,27.1,528,3.82,14.6,68.5,1
26.9,13.7,11,34.9,17.5,39.2,505,13.9,30.2,10.2,1
89,21.3,13.7,20.7,3.31,13.7,407,1.78,1.53,55.2,0
66.1,23.9,17.6,12.6,21.7,35.9,269,24.4,36.5,11.3,1
129,53.3,25.3,382,7.64,8.13,305,6.49,40.3,87.4,1
39.2,19.3,37.5,85.8,7.23,12.1,599,21.9,47,17.8,1
25,18.6,4.03,12,29.7,41,346,5.78,11.9,26.4,1
45.7,19.3,7.17,98.2,5.33,22.9,365,23.3,40,21.1,1
62.1,20.5,25,57.3,14.9,21.5,422,1,89,1.57,0
71,32.5,20.2,83.5,4.83,20.5,25.3,23.9,37.5,17.8,1
50,31.6,6.67,11.3,14.7,113,181,17.5,28.6,9.22,0
102,31.6,4.41,12.9,8.58,18.3,523,10.1,33.4,104,1
63.2,24.6,11.2,16.5,6.44,17.5,542,3.49,9.82,4.53,0
233,66.1,14.5,87.4,13.3,18.4,359,1,18.9,58.8,1
38.9,24.1,18.9,36.8,42.6,80.6,1075,11.8,35.9,11.3,0
98.2,44.1,6.04,23.1,12,22.7,547,22.9,50.5,15.4,0
38.9,24.6,8.66,6.49,22.7,26.7,219,10.7,39.6,71.7,1
87.4,29.4,22.5,22.7,26.2,47.8,311,10.8,13.8,9.65,0
75.7,21.5,1,71.7,6.26,15.5,418,14.7,28.9,12.7,0
79.9,18.9,15.7,80.6,7.77,15.1,396,20,32.8,18.6,1
52.8,19.5,19.3,54.7,43.7,57.3,661,11.2,38.9,98.2,1
63.8,17,33.7,35.2,70.4,109,1358,9.73,25.9,91.4,0
107,44.9,7.99,17.6,7.84,21.1,500,4.53,12.4,69.8,1
59.4,18.4,17,76.4,31.1,59.4,667,18.4,51.9,18.4,0
106,74.3,48.7,61.5,16,36.2,542,7.7,27.9,167,1
71,40.7,11.7,16.8,7.99,16.7,655,24.8,43.3,14.3,0
21.5,13.1,23.7,24.4,4.29,11.1,392,12.3,27.9,29.2,0
149,51.4,33.7,120,29.4,54.2,1762,19.1,26.7,8.9,1
25.9,12.3,17.8,112,17.9,36.5,346,5,21.1,57.3,1
64.4,48.3,12.3,30,13.3,34.9,349,13.7,31.1,16.1,1
36.2,11.3,15.5,16.4,15.3,22.9,414,4.14,10.4,68.5,1
51.9,26.7,12.9,44.5,30.2,50,302,17.9,22.3,10.3,0
21.7,7.57,9.65,308,11.8,29.4,355,8.13,17.2,89.8,1
93.9,35.9,17.6,14.3,23.5,40,300,13.2,24.6,13,0
56.7,20.5,13.6,88.2,24.4,32.5,414,25.3,41.4,16.4,1
66.1,16.1,11,75,13.2,29.2,466,24.8,49.6,29.2,0
27.6,17,11.2,99.1,29.7,50.5,1346,25.3,52.8,13.2,1
49.1,33.4,21.7,19.8,25.3,39.2,400,25.7,33.7,20.9,0
157,51.9,12.3,21.7,5.99,45.3,49.1,7.77,10.3,41,1
124,33.4,13.5,16.3,16.1,25,466,9.47,24.1,262,0
37.9,16.4,34.6,39.2,2.53,13.9,239,4.07,58.8,89,0
45.3,25.5,22.1,15.1,12.3,22.9,474,2.05,23.5,106,0
163,86.6,33.1,53.8,40.3,53.3,316,18.9,38.5,13.2,0
62.6,33.7,8.58,37.2,5,4.29,400,24.6,45.3,28.6,1
26.4,15.3,43.7,43.7,6.04,21.9,1037,30.8,61,14.2,0
52.3,29.7,13.3,85.1,11.9,32.2,1446,19.5,43.7,20.7,1
81.3,24.8,21.5,25,181,248,621,15.3,34,22.1,0
95.6,38.2,5,281,26.4,45.3,496,26.2,48.7,10.4,1
79.9,29.4,5.05,117,30,71,828,8.82,22.1,12.6,0
17.3,14.6,15.1,121,10.4,14.7,717,16,26.4,8.35,1
51.4,37.9,42.6,73.7,15.5,35.5,1219,1.98,17.6,77,1
38.5,7.3,3.13,17,29.4,41.8,470,27.4,42.9,16,0
52.8,53.3,3.65,13.6,36.8,62.6,1000,12.4,23.5,23.7,1
91.4,40.3,17,38.2,10.5,27.1,1009,29.7,50,33.4,0
37.9,14.2,13.3,32.8,17.9,42.9,487,2.11,24.8,66.7,0
55.2,18.8,7.5,32.5,55.7,97.3,2618,10.1,30.8,58.3,0
44.5,24.8,15.5,178,21.1,57.3,982,1,58.3,8.43,1
70.4,30,20.4,17.3,19.1,36.8,349,17,53.3,22.3,0
47.4,30.5,19.8,21.7,33.1,87.4,400,3.89,36.8,96.5,1
63.8,21.7,22.7,184,20.5,26.2,359,3.96,19.8,80.6,1
23.5,42.9,12.1,29.2,1.5,8.51,154,20.7,36.2,13.5,1
5.23,15.1,22.1,93.9,133,297,1094,9.39,19.6,4.14,0
14.5,15.4,1,117,16,29.4,457,20.4,48.3,16,0
36.8,9.47,12.2,12.6,20,30,271,12.1,26.2,85.8,0
97.3,25.3,17.6,12.9,6.98,9.22,352,12.6,23.3,20.9,0
16.3,12.1,67.3,149,43.3,64.4,1027,9.56,15.4,67.3,1
44.5,31.3,33.1,184,32.5,43.3,286,1,59.4,3.68,1
67.9,53.3,17.5,97.3,22.1,36.8,331,5.42,15.1,94.7,1
59.4,28.1,18.9,81.3,79.9,165,2129,8.58,17,7.57,1
25.9,17.2,21.5,24.1,15.3,32.2,313,9.91,18.8,9.22,1
40,32.8,11.3,98.2,40,75.7,365,19.3,33.7,14.7,1
60.4,24.8,17,337,12.7,25,496,9.91,20.5,9.56,1
50.5,24.6,17,136,57.8,91.4,1526,1.54,23.3,59.9,1
31.1,18.8,6.15,191,10.6,21.9,466,13.7,26.7,15,0
11.2,17.9,17.5,15.1,12.7,19.3,331,18.8,24.8,10.9,1
39.2,28.4,23.1,14.2,92.2,235,1670,8.06,19.3,18.4,1
72.3,27.1,18.4,37.2,7.3,23.3,1075,7.04,21.3,35.5,1
62.1,16.1,25,379,31.3,50,343,14.1,20.2,9.65,1
12.7,12.9,30.5,32.8,3.37,14.1,385,31.9,59.4,28.1,1
49.6,17.9,7.5,11.1,67.3,129,737,17,31.6,7.77,0
62.6,22.7,13.1,125,5.73,22.5,418,17.3,32.5,12.4,0
10.8,5.33,23.9,49.1,11,22.9,483,2.35,21.1,85.8,0
74.3,26.4,13.5,36.5,4.26,17.2,70.4,3,14.7,92.2,1
73,21.7,6.79,213,16.5,19.1,429,1.67,44.9,3,1
10.9,6.38,16.7,145,8.58,11,305,1.6,13.8,62.6,1
55.2,18.9,11,123,11.5,23.9,422,11.2,25.3,14.2,0
56.7,13.9,18.4,13.5,5.67,30.2,538,17.9,39.6,14.6,0
97.3,61.5,11.8,165,24.6,31.9,433,19.5,35.2,21.5,1
45.3,19.5,19.3,47,3.55,30,1124,17.5,44.5,157,1
45.3,16.5,17,89.8,19.5,46.1,407,11.1,27.6,122,1
248,271,17.8,34,21.5,38.5,449,2.59,35.5,3.75,1
58.3,34,19.8,164,20.5,33.4,313,14.1,32.2,13.9,1
112,46.1,10.8,133,4.1,10.8,552,26.9,53.8,25.9,0
16,15,17.9,153,12.9,35.5,457,11.2,25.7,1.19,1
67.3,31.6,26.7,13.5,31.1,50.5,294,16.1,35.9,1,0
39.2,15.8,16.5,22.9,11,28.9,311,3.75,7.91,8.35,0
68.5,24.4,20.7,63.8,27.1,33.1,392,2.97,13.6,57.8,1
59.9,40,6.44,196,95.6,143,1700,16.8,47.4,16.7,1
88.2,67.3,36.5,58.8,12.7,36.2,429,38.2,136,55.7,1
13.1,11.2,42.2,154,21.1,34.9,239,5.38,17.2,73.7,1
99.1,50.5,14.6,76.4,3.92,12,343,13.6,29.4,12,1
53.3,18.6,22.7,55.7,17.6,17.2,449,29.2,44.1,21.9,1
137,50,8.28,29.2,6.98,17.9,281,4.18,23.5,123,0
44.5,19.8,19.8,89.8,3.92,18.9,661,4.29,21.7,126,1
255,85.8,20,73,7.23,17,322,12.7,21.1,26.2,1
55.2,25,31.3,98.2,3,6.04,27.6,5.57,18.1,7.43,1
74.3,34.6,13.9,17.2,9.31,32.5,1286,36.5,73,33.7,0
117,49.1,1,396,12.2,27.9,547,2.39,22.1,98.2,1
44.5,26.4,13.2,69.8,15.8,19.3,231,35.5,54.7,27.4,0
87.4,54.7,20.5,176,10.3,22.3,426,27.1,27.4,1.73,1
32.2,14.9,13.7,12.9,9.06,21.5,528,9.91,23.3,95.6,0
37.2,14.5,26.9,17.3,24.1,31.6,300,12.2,34.3,18.4,0
50.9,24.4,68.5,137,22.7,40.3,496,42.6,74.3,200,1
29.4,20.4,35.2,33.1,26.7,47,340,32.8,53.8,19.1,1
48.3,7.43,15.5,110,3.79,17,483,7.04,31.3,92.2,1
64.9,34.9,5.94,11.3,68.5,106,615,15.1,40.3,26.9,1
32.8,23.9,23.7,18.8,33.4,55.2,806,15.3,37.2,21.5,0
26.4,17,51.9,47.8,22.9,37.9,257,50.9,71.7,27.9,0
69.8,34,24.1,71.7,13.2,24.6,264,18.1,41.4,23.5,0
45.7,18.3,8.66,18.4,10.6,14.9,429,16.1,25.9,10.5,1
131,37.2,19.1,97.3,24.1,29.4,313,16,19.1,18.4,1
106,38.2,9.14,24.1,18.3,30.5,685,12.1,28.1,19.6,1
68.5,28.1,16.4,145,10.7,23.7,573,4.18,30.8,59.9,0
59.4,26.7,10.1,83.5,6.79,21.5,346,4.18,23.3,33.7,0
47,17,42.2,71,10.8,57.3,538,26.9,50,15.3,1
56.7,35.9,9.14,30.8,37.9,105,1625,21.7,30.5,19.8,0
28.4,12.6,21.1,31.3,36.2,60.4,835,4.18,15.8,90.6,1
35.2,19.1,28.6,66.1,2.71,21.1,599,3.19,14.3,90.6,1
47,24.1,17.8,257,7.77,29.2,956,10.8,30.5,11.5,1
63.2,18.9,20.5,15.4,21.1,113,1104,23.7,56.2,13.3,0
62.6,21.1,6.04,209,5.05,18.4,583,2.79,12.4,8.28,1
14.2,11.7,24.8,38.9,6.1,14.2,355,10.7,30.2,10.6,1
53.8,20.7,16.4,15.3,12.1,18.4,509,9.65,53.3,217,0
68.5,27.6,17.5,82,6.85,24.1,359,1.1,61.5,14.1,1
119,64.4,10.5,53.8,8.66,33.4,2480,2.97,31.9,78.4,1
41.8,11.1,14.9,18.6,6.79,34,698,13.3,22.3,11.1,1
44.9,21.7,15,48.7,2.59,20.9,414,13.9,27.4,9.91,1
72.3,38.9,1,547,3.68,13.7,343,15.3,40,18.3,0
53.3,34.6,2.89,1.11,8.66,12.7,219,24.6,63.8,137,1
31.9,18.9,87.4,130,7.57,24.6,523,9.47,23.7,16.3,1
117,59.4,10.8,284,21.1,30.5,305,7.1,21.1,32.5,1
45.3,32.8,26.9,137,3.08,11.5,649,2.33,31.6,57.3,1
46.6,30,12.9,16.7,10.1,16.7,262,32.5,96.5,25.7,0
30.5,8.9,163,379,13.2,16.5,514,19.5,26.4,17.8,1
41.8,12,11.1,28.9,6.26,22.9,24.4,2.79,15.4,83.5,1
102,38.2,37.5,244,14.9,15.3,466,5.28,30.5,122,1
33.1,26.2,23.7,168,115,209,791,20,18.1,12.4,1
